EMPLOYEE_ID;FIRST_NAME;LAST_NAME;EMAIL;PHONE_NUMBER;HIRE_DATE;JOB_ID;SALARY;COMMISSION_PCT;MANAGER_ID;DEPARTMENT_ID;COD_LUGAR_NACE;COD_LUGAR_VIVE;COD_LUGAR_TRABAJA
123;Shanta;Vollman;SVOLLMAN;6.501.234.234;19/03/21;ST_MAN;6500;100;50;501;708;907
124;Kevin;Mourgos;KMOURGOS;6.501.235.234;14/11/18;ST_MAN;5800;100;50;502;709;908
125;Julia;Nayer;JNAYER;6.501.241.214;27/03/17;ST_CLERK;3200;120;50;503;710;909
126;Irene;Mikkilineni;IMIKKILI;6.501.241.224;01/01/19;ST_CLERK;2700;120;50;601;711;910
127;James;Landry;JLANDRY;6.501.241.334;01/09/18;ST_CLERK;2400;120;50;602;712;911
128;Steven;Markle;SMARKLE;6.501.241.434;05/02/13;ST_CLERK;2200;120;50;603;713;912
129;Laura;Bissot;LBISSOT;6.501.245.234;04/10/21;ST_CLERK;3300;121;50;604;714;304
130;Mozhe;Atkinson;MATKINSO;6.501.246.234;29/10/15;ST_CLERK;2800;121;50;701;715;2504
131;James;Marlow;JAMRLOW;6.501.247.234;09/06/18;ST_CLERK;2500;121;50;702;716;906
132;TJ;Olson;TJOLSON;6.501.248.234;31/10/19;ST_CLERK;2100;121;50;703;717;703
133;Jason;Mallin;JMALLIN;6.501.271.934;27/04/19;ST_CLERK;3300;122;50;704;718;704
134;Michael;Rogers;MROGERS;6.501.271.834;08/05/15;ST_CLERK;2900;122;50;705;801;705
135;Ki;Gee;KGEE;6.501.271.734;15/10/17;ST_CLERK;2400;122;50;706;802;706
136;Hazel;Philtanker;HPHILTAN;6.501.271.634;23/04/19;ST_CLERK;2200;122;50;707;803;707
137;Renske;Ladwig;RLADWIG;6.501.211.234;28/02/12;ST_CLERK;3600;123;50;708;901;708
138;Stephen;Stiles;SSTILES;6.501.212.034;18/02/19;ST_CLERK;3200;123;50;709;902;709
139;John;Seo;JSEO;6.501.212.019;02/11/17;ST_CLERK;2700;123;50;710;903;710
140;Joshua;Patel;JPATEL;6.501.211.834;31/03/15;ST_CLERK;2500;123;50;711;904;711
141;Trenna;Rajs;TRAJS;6.501.218.009;02/08/18;ST_CLERK;3500;124;50;712;712;712
142;Curtis;Davies;CDAVIES;6.501.212.994;20/12/15;ST_CLERK;3100;124;50;713;906;1601
143;Randall;Matos;RMATOS;6.501.212.874;02/04/13;ST_CLERK;2600;124;50;714;907;1602
144;Peter;Vargas;PVARGAS;6.501.212.004;14/05/15;ST_CLERK;2500;124;50;715;908;1603
145;John;Russell;JRUSSEL;011.44.1344.429268;24/05/21;SA_MAN;14000;0.4;100;80;716;909;1604
146;Karen;Partners;KPARTNER;011.44.1344.467268;25/05/12;SA_MAN;13500;0.3;100;80;717;910;1701
147;Alberto;Errazuriz;AERRAZUR;011.44.1344.429278;31/05/15;SA_MAN;12000;0.3;100;80;718;911;1801
148;Gerald;Cambrault;GCAMBRAU;011.44.1344.619268;16/04/14;SA_MAN;11000;0.3;100;80;801;912;1802
149;Eleni;Zlotkey;EZLOTKEY;011.44.1344.429018;22/08/14;SA_MAN;10500;0.2;100;80;802;1001;1901
150;Peter;Tucker;PTUCKER;011.44.1344.129268;08/05/15;SA_REP;10000;0.3;145;80;803;1101;1902
151;David;Bernstein;DBERNSTE;011.44.1344.345268;23/11/18;SA_REP;9500;0.25;145;80;901;1102;1903
152;Peter;Hall;PHALL;011.44.1344.478968;15/12/19;SA_REP;9000;0.25;145;80;902;1103;2001
153;Christopher;Olsen;COLSEN;011.44.1344.498718;01/01/17;SA_REP;8000;0.2;145;80;903;1104;2101
154;Nanette;Cambrault;NCAMBRAU;011.44.1344.987668;13/02/16;SA_REP;7500;0.2;145;80;904;1105;2201
155;Oliver;Tuvault;OTUVAULT;011.44.1344.486508;12/04/17;SA_REP;7000;0.15;145;80;905;1201;2301
156;Janette;King;JKING;011.44.1345.429268;23/03/20;SA_REP;10000;0.35;146;80;906;1202;2401
157;Patrick;Sully;PSULLY;011.44.1345.929268;24/12/18;SA_REP;9500;0.35;146;80;907;1301;2402
158;Allan;McEwen;AMCEWEN;011.44.1345.829268;30/04/14;SA_REP;9000;0.35;146;80;908;1302;2501
159;Lindsey;Smith;LSMITH;011.44.1345.729268;09/08/21;SA_REP;8000;0.3;146;80;909;1401;2502
160;Louise;Doran;LDORAN;011.44.1345.629268;15/09/15;SA_REP;7500;0.3;146;80;910;1402;2503
161;Sarath;Sewall;SSEWALL;011.44.1345.529268;23/04/19;SA_REP;7000;0.25;146;80;911;1403;2504
162;Clara;Vishney;CVISHNEY;011.44.1346.129268;19/04/20;SA_REP;10500;0.25;147;80;912;1404;906
163;Danielle;Greene;DGREENE;011.44.1346.229268;08/12/17;SA_REP;9500;0.15;147;80;1001;1501;907
164;Mattea;Marvins;MMARVINS;011.44.1346.329268;15/08/20;SA_REP;7200;0.1;147;80;1101;1601;707
165;David;Lee;DLEE;011.44.1346.529268;11/05/21;SA_REP;6800;0.1;147;80;1102;1602;708
166;Sundar;Ande;SANDE;011.44.1346.629268;12/05/14;SA_REP;6400;0.1;147;80;1103;1603;709
167;Amit;Banda;ABANDA;011.44.1346.729268;09/11/19;SA_REP;6200;0.1;147;80;1104;1604;710
168;Lisa;Ozer;LOZER;011.44.1343.929268;12/01/18;SA_REP;11500;0.25;148;80;1105;1701;101
169;Harrison;Bloom;HBLOOM;011.44.1343.829268;11/10/15;SA_REP;10000;0.2;148;80;1201;1801;102
170;Tayler;Fox;TFOX;011.44.1343.729268;04/10/15;SA_REP;9600;0.2;148;80;1202;1802;103
171;William;Smith;WSMITH;011.44.1343.629268;22/04/13;SA_REP;7400;0.15;148;80;1301;1901;104
172;Elizabeth;Bates;EBATES;011.44.1343.529268;20/11/14;SA_REP;7300;0.15;148;80;1302;1902;105
173;Sundita;Kumar;SKUMAR;011.44.1343.329268;13/07/19;SA_REP;6100;0.1;148;80;1401;1903;106
175;Alyssa;Hutton;AHUTTON;011.44.1644.429266;25/02/18;SA_REP;8800;0.25;149;80;1402;2001;107
176;Jonathon;Taylor;JTAYLOR;011.44.1644.429265;31/03/15;SA_REP;8600;0.2;149;80;1403;2101;108
177;Jack;Livingston;JLIVINGS;011.44.1644.429264;20/06/18;SA_REP;8400;0.2;149;80;1404;2201;109
178;Kimberely;Grant;KGRANT;011.44.1644.429263;05/08/18;SA_REP;7000;0.15;149;null;1501;2301;110
179;Charles;Johnson;CJOHNSON;011.44.1644.429262;01/01/13;SA_REP;6200;0.1;149;80;1601;2401;111
180;Winston;Taylor;WTAYLOR;6.505.079.876;01/11/21;SH_CLERK;3200;120;50;1602;2402;112
181;Jean;Fleaur;JFLEAUR;6.505.079.877;08/01/16;SH_CLERK;3100;120;50;1603;2501;113
182;Martha;Sullivan;MSULLIVA;6.505.079.878;21/06/15;SH_CLERK;2500;120;50;1604;2502;201
183;Girard;Geoni;GGEONI;6.505.079.879;19/09/19;SH_CLERK;2800;120;50;1701;2503;202
184;Nandita;Sarchand;NSARCHAN;6.505.091.876;13/02/15;SH_CLERK;4200;121;50;1801;2504;301
185;Alexis;Bull;ABULL;6.505.092.876;09/08/16;SH_CLERK;4100;121;50;1802;906;302
186;Julia;Dellinger;JDELLING;6.505.093.876;01/06/14;SH_CLERK;3400;121;50;1901;907;303
187;Anthony;Cabrio;ACABRIO;6.505.094.876;02/04/14;SH_CLERK;3000;121;50;1902;908;304
188;Kelly;Chung;KCHUNG;6.505.051.876;23/12/15;SH_CLERK;3800;122;50;1903;909;401
189;Jennifer;Dilly;JDILLY;6.505.052.876;15/06/13;SH_CLERK;3600;122;50;2001;910;402
190;Timothy;Gates;TGATES;6.505.053.876;16/07/21;SH_CLERK;2900;122;50;2101;911;404
191;Randall;Perkins;RPERKINS;6.505.054.876;26/04/17;SH_CLERK;2500;122;50;2201;912;403
192;Sarah;Bell;SBELL;6.505.011.876;21/01/15;SH_CLERK;4000;123;50;2301;602;501
193;Britney;Everett;BEVERETT;6.505.012.876;06/12/13;SH_CLERK;3900;123;50;2401;2401;2401
194;Samuel;McCain;SMCCAIN;6.505.013.876;26/03/13;SH_CLERK;3200;123;50;2402;1604;503
195;Vance;Jones;VJONES;6.505.014.876;16/02/16;SH_CLERK;2800;123;50;2501;1701;601
196;Alana;Walsh;AWALSH;6.505.079.811;18/09/17;SH_CLERK;3100;124;50;2502;910;602
197;Kevin;Feeney;KFEENEY;6.505.079.822;24/12/20;SH_CLERK;3000;124;50;2503;704;603
198;Donald;OConnell;DOCONNEL;6.505.079.833;13/12/16;SH_CLERK;2600;124;50;2504;112;604
199;Douglas;Grant;DGRANT;6.505.079.844;27/03/15;SH_CLERK;2600;124;50;906;1901;701
200;Jennifer;Whalen;JWHALEN;5.151.234.444;08/11/12;AD_ASST;4400;101;10;907;1902;1902
201;Michael;Hartstein;MHARTSTE;5.151.235.555;06/08/17;MK_MAN;13000;100;20;908;1903;703
202;Pat;Fay;PFAY;6.031.236.666;17/11/17;MK_REP;6000;201;20;909;2001;704
203;Susan;Mavris;SMAVRIS;5.151.237.777;05/03/21;HR_REP;6500;101;40;2101;2101;705
204;Hermann;Baer;HBAER;5.151.238.888;08/05/18;PR_REP;10000;101;70;911;401;706
205;Shelley;Higgins;SHIGGINS;5.151.238.080;10/06/14;AC_MGR;12000;101;110;912;402;707
206;William;Gietz;WGIETZ;5.151.238.181;07/12/12;AC_ACCOUNT;8300;205;110;1001;2504;708
